ID,Facility Number,Facility Name,Latitude,Longitude,Common Name,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Date Opened,Official Phone Number,MTUHA,CTC_ID,msd_id,PostalAddress,OfficialEmail,Website
2649,109552-0,DARAJA II,-3.38057,36.68765,Daraja II Health Centre,Arusha Region,Arusha District,Arusha CC,Daraja 2,Ally Nyanya,Health Center,Operating,LGA Public,1/9/14,,,02-03-0124,,P.O.Box 3013 Arusha,,
16932,121091-3,DARAJA MBILI,,,DARAJA MBILI,Arusha Region,Arusha District,Arusha CC,Sokon I,Muriet,Dispensary,Operating,Faith Based Organization (FBO) Private ZION APOSTOLIC CHURCH INTER,9/6/97,784321222,,,,P.O BOX 11948,didaskimaryo@gmail.com,
446,120470-0,DELIGHT,,,Delight Dental Clinic,Arusha Region,Arusha District,Arusha CC,Oloirien,Moivoi,Basic Dental Clinic,Operating,For Profit With Joint Venture Private Delight Dental Clinic Limited,7/15/21,736230063,,,,P.O.Box 2640 Arusha,delightdentalclinic20@gmail.com,delightdental.co.tz
12067,110462-9,DOSIL,-3.4102,36.658531,,Arusha Region,Arusha District,Arusha CC,Olasiti,Olkeriani,Dispensary,Operating,For Profit Private DR. SIMON ELIAS MEGIROO,3/9/20,,,,,,,
2897,101053-7,EBEN MEDICAL CARE,-3.363729,36.689658,Eben,Arusha Region,Arusha District,Arusha CC,Kaloleni,Kaloleni Mashariki,Dispensary,Operating,For Profit Private Eben East Africa LTD,1/20/11,754994152,,,,,,
2957,109982-9,ELERAI,-3.368833,36.658632,ELERAI,Arusha Region,Arusha District,Arusha CC,Elerai,Majengo A,Dispensary,Operating,LGA Public,1/1/70,,,,,3013 ARUSHA,,
18373,121380-0,EL-SHADAI,,,TUMAINI,Arusha Region,Arusha District,Arusha CC,Ngarenaro,Mita mia mbili,Dispensary,Operating,Faith Based Organization (FBO) Private THE ZION APOSTOLIC CHURCH INTERNATIONAL,3/9/20,784727291,,,,"538, USA RIVER",winifridaevarist08@gmail.com,
3120,101121-2,FAITH,-3.367373,36.723165,,Arusha Region,Arusha District,Arusha CC,Kimandolu,Kityangari,Dispensary,Operating,Faith Based Organization (FBO) Private The love of carvary Church,7/15/09,,,,,P.O.Box 2470 Arusha,,
3184,101134-5,FARAJA,-3.37231,36.68135,Faraja Dispensary,Arusha Region,Arusha District,Arusha CC,Levolosi,Majengo,Dispensary,Operating,For Profit Private DR SABINA MTWEVE,4/26/11,,,,,P.O.Box 165529 Arusha,,
17862,121235-6,FARAJA PALLOTI,,,FARAJA,Arusha Region,Arusha District,Arusha CC,Sokon I,Kanisani,Physiotherapy Clinic,Operating,Faith Based Organization (FBO) Private PALLOTINE FATHERS,3/9/20,766804419,,,,P.O BOX 2369,farajapallotti@gmail.com,
587,120261-3,FIRST CARE,,,FIRST CARE,Arusha Region,Arusha District,Arusha CC,Sinoni,Engosengiu,Dispensary,Operating,NGOs Private COMMUNITY HEALTH AND EDUCATION SERVICES,3/2/21,765899062,,,,P.O BOX 6190 Arusha,maganyaf@gmail.com,
3246,113632-4,FM HEALTH CARE,-3.367348,36.725878,,Arusha Region,Arusha District,Arusha CC,Kimandolu,Kityangari,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
3247,110721-8,FMM,-3.362834,36.7009,FMM,Arusha Region,Arusha District,Arusha CC,Sekei,Sanawari,Specialised Clinic,Operating,For Profit Private Dr. Clement Makule,1/4/18,769880088,,,,P.O.Box 1001 Arusha,cmakule@yahoo.com,
3261,113550-8,FORWARD MODERN,-3.39125,36.673492,,Arusha Region,Arusha District,Arusha CC,Sokon I,Madukani,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
3389,113625-8,GEMSA,-3.375081,36.699683,GEMSA,Arusha Region,Arusha District,Arusha CC,Themi,Corridor,Specialised Clinic,Operating,For Profit Private DR. MELKIZEDEK STEPHEN KIMARO,10/10/16,789003652,,,,P.O.BOX 10712,gemsaclinic@gmail.com,
18062,121317-2,GLITZ,,,GLITZ,Arusha Region,Arusha District,Arusha CC,Sekei,Naura,Basic Dental Clinic,Operating,Investor(For Foreigners) Private GLITZ ADVANCE DENTAL CLINIC LTD,3/9/20,685757359,,,,P.O Box 3110 Arusha,info.glitzdental@gmail.com,
3462,112006-2,GLOBAL,-3.3684,36.682188,,Arusha Region,Arusha District,Arusha CC,Levolosi,Majengo,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
3463,101224-4,GLORIA,-3.361671,36.697168,Gloria,Arusha Region,Arusha District,Arusha CC,Sekei,Sanawari,Dispensary,Operating,Faith Based Organization (FBO) Private,6/11/17,754691609,,,,P.O.Box 2199,kilasarafrank1999@yahoo.com,
3607,113628-2,HEALTH4ALL,-3.373656,36.699567,HEALTH4ALL,Arusha Region,Arusha District,Arusha CC,Themi,Corridor,Specialised Clinic,Operating,For Profit Private DR ZOHEIR HUSSEIN DOSSAJI,1/4/18,255744626742,,,,P. O. BOX 345 ARUSHA,health4allclinics@gmail.com,www.health4allclinics.co.tz/
3673,110723-4,HIGHWAY,-3.372904,36.685279,Highway,Arusha Region,Arusha District,Arusha CC,Levolosi,Majengo,Dispensary,Operating,Faith Based Organization (FBO) Private Love of Calvary church,6/8/12,,,,,,,
3674,111957-7,HIGHWAY HEALTH,-3.394521,36.665181,,Arusha Region,Arusha District,Arusha CC,Sombetini,Osunyai,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
3723,101379-6,HOLY FAMILY,-3.41223,36.70756,,Arusha Region,Arusha District,Arusha CC,Engutoto,Block C 1,PolyClinic,Operating,For Profit Private Dr. Nasenan Mollel,9/6/19,713823074,,,,P.O.Box 1539 Arusha,holyfamilydisp@gmail.com,
3756,111782-9,HOPE,-3.424183,36.658004,Hope,Arusha Region,Arusha District,Arusha CC,Terrat,Murieti,Dispensary,Operating,For Profit Private Michael Jigabha Wanjara,6/2/17,,,,,P.O.BOX 474,,
463,120365-2,HOSPITALI YA JIJI,,,City Hospital,Arusha Region,Arusha District,Arusha CC,Engutoto,Block D,District Hospital,Operating,LGA Public Arusha CC,,,,,,P.O Box 3013,cmoh@arushacc.go.go.tz,
461,120283-7,ITHNA ASHERI CHARITABLE,,,ITHNA ASHERI,Arusha Region,Arusha District,Arusha CC,Levolosi,Levolos,PolyClinic,Operating,Faith Based Organization (FBO) Private KHOJA SHIA ITHNAASHERI JAMAT,3/15/21,+255(0)2544778,,,,P.O.BOX 7176,accounts2@ksijhealthcare.or.tz,
5408,101462-0,ITHNAASHERI CHARITABLE,-3.37424,36.68132,ICD,Arusha Region,Arusha District,Arusha CC,Levolosi,Majengo,Dispensary,Operating,Faith Based Organization (FBO) Private,1/1/70,254477/2502320,,02-03-0600,,P.O.Box 7176 Arusha,,
4005,111491-7,JMS HUMAN HEALTH,-3.365352,36.689535,JMS DISP,Arusha Region,Arusha District,Arusha CC,Kaloleni,Kaloleni Magharibi,Dispensary,Operating,Faith Based Organization (FBO) Private THE LOVE OF CALVARY CHURCH,1/4/18,754473090,,,,P.O BOX 2828,jmsdispensarynlab@gmail.com,
4012,111844-7,JOBI,-3.375044,36.676086,Jobi,Arusha Region,Arusha District,Arusha CC,Ngarenaro,NHC,Dispensary,Operating,For Profit Private DR. JOSEPH MARDAI,6/14/93,754290437,,,,P.O.Box 1723 Arusha,,
4426,102258-1,KALOLENI,-3.369322,36.688577,KALOLENI HC,Arusha Region,Arusha District,Arusha CC,Kaloleni,Kaloleni Mashariki,Health Center,Operating,LGA Public,1/7/61,73297936,,02-03-0104,,3013,,
4448,102269-8,KAM MED,-3.378285,36.696048,,Arusha Region,Arusha District,Arusha CC,Themi,Old Police line,Health Center,Operating,For Profit Private,5/6/12,,,02-03-0102,,P.O.Box 6043 Arusha,Kammedhealthcentre@gmail.com,
4533,111489-1,KANAAN LAND,-3.405768,36.644791,KANAAN DISP.,Arusha Region,Arusha District,Arusha CC,Kimandolu,Kityangari,Dispensary,Operating,For Profit Private DR WILLIAM MANASE MAKANGE,11/3/16,255765121316,,,,P.O.Box 569,,
2835,111998-1,KIAZE,-3.362795,36.672612,,Arusha Region,Arusha District,Arusha CC,Elerai,Sakina,Level IA2 (Dispensary Laboratory),Operating,Private ROSE,11/1/16,255 769 953 566,,,,P.O.BOX 16690,rosebogohe@yahoo.com,
5571,102755-6,KIJENGE RC,-3.3816,36.70815,Kijenge RC Dispensary,Arusha Region,Arusha District,Arusha CC,Oloirien,Roman Catholic,Dispensary,Operating,Faith Based Organization (FBO) Private,7/9/97,,,,,P.O.Box 3071 Arusha,,
6218,111784-5,KIMAHAMA,-3.367506,36.68474,,Arusha Region,Arusha District,Arusha CC,Levolosi,Levolos,Eye Clinic,Operating,For Profit Private,,,,,,,,
6254,109983-7,KIMANDOLU,-3.371417,36.722325,Kimandolu,Arusha Region,Arusha District,Arusha CC,Kimandolu,Kijenge Kaskazini,Dispensary,Operating,LGA Public,5/9/17,,,,,P.O Box 3013 Arusha,,
7993,111984-1,KIVULINI,,,,Arusha Region,Arusha District,Arusha CC,,,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
8487,113548-2,KUHENGA,-3.363639,36.667778,,Arusha Region,Arusha District,Arusha CC,Elerai,Sakina,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
9160,112000-5,LANCET,-3.37264,36.688426,,Arusha Region,Arusha District,Arusha CC,Kati,Bondeni,Level III Multipurpose Health Laboratory,Operating,For Profit Private,,,,,,,,
9190,112836-2,LARUSA,-3.369451,36.686845,,Arusha Region,Arusha District,Arusha CC,Kaloleni,Kaloleni Mashariki,Optometry Clinic,Operating,For Profit Private,1/1/70,754308976,,,,1765 Arusha,larusaoptician@gmail.com,
9207,110715-0,LCC HURUMA,-3.418995,36.658198,LCC Huruma,Arusha Region,Arusha District,Arusha CC,Terrat,Murieti,Dispensary,Operating,Faith Based Organization (FBO) Private THE LOVE OF CALVARY CHURCH,1/4/11,,,,,,,
9354,103490-9,LEVOLOSI,-3.37227,36.6799,,Arusha Region,Arusha District,Arusha CC,Levolosi,Levolos,Health Center,Operating,LGA Public Arusha CC,1/7/78,,,02-03-0903,,,,
17390,121160-6,Life Line,,,Life Line,Arusha Region,Arusha District,Arusha CC,Muriet,Mlimani,Level IA2 (Dispensary Laboratory),Operating,For Profit Private Fadhili James Ngowi,2/3/21,658104161,,,,P.O.Box Muriet,fadhilijmaes90@gmail.com,
701,120305-8,LIFECARE SPECIALIZED POLYCLINIC,,,lifecare,Arusha Region,Arusha District,Arusha CC,Moshono,Moshono,PolyClinic,Operating,Company/Business Name Private LIFECARE SPECIALIZED POLYCLINIC LIMITED,3/19/21,2557844166546,,,,P.O.BOX 120,dr.onesmo@gmail.com,
7747,109439-0,MAGEREZA,Not Set,Not Set,Magereza Dispensary,Arusha Region,Arusha District,Arusha CC,Olasiti,Burka,Dispensary,Operating,Prisons Public,1/7/07,783599000,,02-03-0112,,P.O.Box 369 Arusha,,
8299,113622-5,MAJENGO,-3.370935,36.660648,,Arusha Region,Arusha District,Arusha CC,Elerai,Azimio,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
5901,104331-4,MARIE STOPES,-3.375013,36.684394,Marie Stopes,Arusha Region,Arusha District,Arusha CC,Levolosi,Majengo,Dispensary,Operating,NGOs Private MARIE STOPES TANZANIA,8/4/93,767160090,,02-03-0123,KL620023,14147 Arusha,reliraha@mst.or.tz,
6543,109812-8,MATEVES,-3.359082,36.601756,Mateves,Arusha Region,Arusha District,Arusha CC,Olasiti,Ngaramtoni chini,Dispensary,Operating,LGA Public,1/1/70,,,,,P.O.Box 3013 Arusha,,
13723,120766-1,MEDICLINIC,,,mediclinic,Arusha Region,Arusha District,Arusha CC,Sekei,Mahakama,Specialized Polyclinic,Operating,Company/Business Name Private MEDICLINIC TANZANIA,12/7/21,784835850,,,,P.O.BOX 1460,mediclinic@gmail.com,
12950,120451-0,MEGACARE,,,MEGACARE,Arusha Region,Arusha District,Arusha CC,Engutoto,Block C 2,Specialized Polyclinic,Operating,Company/Business Name Private MEGACARE SPECIALIZED POLYCLINIC LIMITED,6/16/21,0756 401 787,,,,P O BOX 827 ARUSHA,megacareclinic@gmail.com,
14431,121011-1,MEGACARE,,,MEGACARE,Arusha Region,Arusha District,Arusha CC,Engutoto,Block C 2,Diagnostic Centre,Operating,Company/Business Name Private MEGACARE SPECIALIZED POLYCLINIC AND DIAGNOSTIC CENTRE LIMITED,3/3/22,756401787,,,,P O BOX 827 ARUSHA,megacareclinic@gmail.com,
7928,111999-9,MEGACARE,-3.375081,36.699683,,Arusha Region,Arusha District,Arusha CC,Themi,Corridor,Level IA1 (Health Center Laboratory),Operating,For Profit Private,,,,,,,,
8059,112002-1,MESERANI,,,,Arusha Region,Arusha District,Arusha CC,,,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
8585,112001-3,MICO PALLOT,-3.383735,36.674166,,Arusha Region,Arusha District,Arusha CC,Sokon I,Kanisani,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
11973,113542-5,MICO SAJE,-3.430558,36.678524,MICO Saje,Arusha Region,Arusha District,Arusha CC,Muriet,Muriet,Dispensary,Operating,For Profit Private MUZDALIFAH ISLAMIC CHARITABLE ORGANIZATION,3/9/20,784479060,,,,,,
5870,105112-7,MKONOO,-3.46341,36.69805,Mkonoo,Arusha Region,Arusha District,Arusha CC,Terrat,Laitayock,Health Center,Operating,LGA Public Arusha CC,1/1/70,,,02-03-0108,,P.O.Box 3013 Ausha,,
6615,105272-9,MOIVARO,-3.39281,36.7559,,Arusha Region,Arusha District,Arusha CC,Moshono,Moivaro,Health Center,Operating,LGA Public,1/7/04,,,02-03-0110,,,,
6733,111997-3,MORDEN,-3.375219,36.674078,Morden clinical,Arusha Region,Arusha District,Arusha CC,Unga Ltd,Tindiga,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
6809,114594-5,MOSHONO,,,Moshono,Arusha Region,Arusha District,Arusha CC,Moshono,Moshono,Health Center,Operating,LGA Public Arusha CC,1/10/20,,,,,P.O.Box 3013,,
6867,112930-3,MOYO MEDICARE,-3.364268,36.698327,MOYO MEDICARE,Arusha Region,Arusha District,Arusha CC,Sekei,AICC,Specialized Polyclinic,Operating,For Profit Private DR.JULIUS ONESMO,1/2/19,784416656,,,,Box 120,moyomedicare120@gmail.com,
13438,120892-5,MOYO MEDICARE,,,MOYO SPECIALIZED POLYCLINIC,Arusha Region,Arusha District,Arusha CC,Sekei,Sanawari,Dialysis Clinic,Operating,Company/Business Name Private MOYO MEDICARE LIMITED,5/19/20,0784 416 656,,,,120 Arusha,dr.onesmo@gmail.com,
7586,114212-4,MSIMBAZI EYE CENTRE LTD - ARUSHA BRANCH,,,,Arusha Region,Arusha District,Arusha CC,Kati,Pangani,Optometry Clinic,Operating,For Profit Private,1/1/70,635760064,,,,Box 20574 DSM,info@msimbazieyecentreltd.com,
7795,105316-4,MT. MERU,-3.36642,36.69498,,Arusha Region,Arusha District,Arusha CC,Sekei,Naura,Regional Referral Hospital,Operating,MoHCDGEC Public,1/1/70,2503354,,02-03-0100,,P.O.Box 3092 Arusha,mountmeruhospital@habari.co.tz,
8781,112377-7,MURIET,-3.440929,36.654003,Muriet,Arusha Region,Arusha District,Arusha CC,Terrat,Murieti,Health Center,Operating,LGA Public Arusha CC,12/11/18,,,,,3013 Arusha,,
9755,111783-7,N.G LIGHT,-3.441807,36.66592,N.G Light,Arusha Region,Arusha District,Arusha CC,Terrat,Murieti,Dispensary,Operating,For Profit Private Dr ZEBEDAYO K. GUNDA,12/23/17,,,,,,,
9765,109516-5,NADOSOITO,-3.493953,36.681011,Nadosoito,Arusha Region,Arusha District,Arusha CC,Terrat,Kati,Dispensary,Operating,LGA Public,7/6/13,,,,,P.O.Box 3013 Arusha,,
10071,111983-3,NEEMA,-3.37232,36.68052,,Arusha Region,Arusha District,Arusha CC,Levolosi,Levolos,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
10106,111961-9,NEW MODERN MRL,-3.368107,36.687336,Trust,Arusha Region,Arusha District,Arusha CC,Kaloleni,Kaloleni Magharibi,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
10175,106358-5,NGARENARO,-3.37346,36.68146,,Arusha Region,Arusha District,Arusha CC,Levolosi,Majengo,Health Center,Operating,LGA Public,,,,02-03-0701,,P.O.Box 3013 Arusha,,
10250,112832-1,NGULELO OPTOMETRY,-3.36597,36.72672,,Arusha Region,Arusha District,Arusha CC,Kimandolu,Kijenge Kaskazini,Optometry Clinic,Operating,For Profit Private,1/4/13,754479976,,,,12779 Arusha,damworia@yahoo.com,
12665,120496-5,NJIRO INTERNATIONAL,,,NIDC,Arusha Region,Arusha District,Arusha CC,Engutoto,Block C 2,Comprehensive Dental Clinic,Operating,Company/Business Name Private Njiro International Dental Clinic Limited,3/9/21,759666661,,,,"P.O.Box 227, Arusha",info@njirodental.com,www.njirodental.com
10324,110823-2,NJIRO SDA,-3.408584,36.707276,SDA Njiro,Arusha Region,Arusha District,Arusha CC,Engutoto,Block C 1,Specialized Polyclinic,Operating,Faith Based Organization (FBO) Private SEVENTH DAY ADV. CHURCH,7/9/97,255754963596,,02-03-0105,,1121,arushasda2021@gmail.com,
14190,121007-9,NOUR,,,NOUR POLYCLINIC,Arusha Region,Arusha District,Arusha CC,Daraja 2,Kati,PolyClinic,Operating,Company/Business Name Private NOUR POLYCLINIC LIMITED,3/2/22,755001189,,,,P O BOX 7061,nourpolyclinic@gmail.com,
10430,111486-7,NSK,-3.380651,36.684811,NSK HOSPITAL,Arusha Region,Arusha District,Arusha CC,Unga Ltd,Viwandani,Hospital at Regional Level,Operating,For Profit Private NSK HOSPITALS LTD,6/6/16,255621221331,,,,3114 ARUSHA,info@nskhospital.com,www.NSK.hospital
10815,111956-9,NZUNDUKA,-3.380125,36.659857,,Arusha Region,Arusha District,Arusha CC,Sombetini,Kirika A,Level IA2 (Dispensary Laboratory),Operating,For Profit Private GEORGE PHILIPO NDUNGURU,5/25/22,713252120,,,,P.O.BOX 457 ARUSHA,ndungurugeorge451@gmail.com,
10832,106891-5,OLD ARUSHA,-3.37439,36.69686,,Arusha Region,Arusha District,Arusha CC,Themi,Corridor,Health Center,Operating,For Profit Private,1/8/11,2502134,,02-03-0103,,P.O.Box 89 Arusha,urasa@hotmail.com,
10850,106910-3,OLKEREYAN,-3.43613,36.72062,,Arusha Region,Arusha District,Arusha CC,Moshono,Olkeriyan,Dispensary,Operating,LGA Public Arusha CC,9/9/05,,,,,P.O.Box 3013 Arusha,,
10855,112378-5,OLMOTI,-3.426427,36.593784,Olmoti,Arusha Region,Arusha District,Arusha CC,Olasiti,Mateves,Dispensary,Operating,LGA Public Arusha CC,1/1/70,,,,,3013 Arusha,,
10860,110725-9,OLORIEN COMMUNITY,-3.387747,36.711604,Olorien Community,Arusha Region,Arusha District,Arusha CC,Oloirien,Moivoi,Health Center,Operating,"NGOs Private New Hope Initiative, Inc",2/6/09,255754675682,,,,P.O.BOX 16826,robertbyemba@gmail.com,
