ID,Facility Number,Facility Name,Latitude,Longitude,Common Name,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Date Opened,Official Phone Number,MTUHA,CTC_ID,msd_id,PostalAddress,OfficialEmail,Website
16586,120960-0,KWANGURUWE,4.8732,38.4689,Kwanguruwe,Tanga Region,Lushoto District,Bumbuli DC,Bumbuli,Kwanguruwe,Dispensary,Operating,LGA Public Tanzania,12/27/21,713457836,,,,Box 120 Bumbuli,saramafundo@gmail.com,
8834,103399-2,KWEHANGALA,-4.8555,38.43845,Kwehangala,Tanga Region,Lushoto District,Bumbuli DC,Dule B,Kwehangala,Dispensary,Operating,LGA Public DED BUMBULI,6/7/70,,,04-01-0134,TG520105,Box 120 Bumbuli,denis@gmail.com,
8883,103410-7,KWEMKOMOLE,-4.82782,38.56577,Kwemkomole,Tanga Region,Lushoto District,Bumbuli DC,Mlingano,Kwemkomole,Dispensary,Operating,LGA Public DED BUMBULI,3/6/00,,,04-01-0137,TG520111,Box 120 Bumbuli,erick@gmail.com,
11237,104020-3,MAHEZANGULU,-4.92279,38.52057,Mahezangulu,Tanga Region,Lushoto District,Bumbuli DC,Maheza Ngulu,Maheza ngulu,Dispensary,Operating,LGA Public,1/1/10,,,04-01-0150,520301,Box 120 Bumbuli,,
6743,111007-1,MAVULUI,-4.95384,38.35745,Mavului,Tanga Region,Lushoto District,Bumbuli DC,Soni,Soni,Dispensary,Operating,LGA Public,4/5/15,,,,,Box 120 Bumbuli,,
6841,104520-2,MAYO,-4.84177,38.51515,Mayo,Tanga Region,Lushoto District,Bumbuli DC,Mayo,Mayo,Dispensary,Operating,LGA Public DED BUMBULI,5/8/07,,,04-01-0111,520293,Box 120 Bumbuli,mayo@gmail.com,
3648,101295-4,HAI,-3.33253,37.1424,Wilayani,Kilimanjaro Region,Hai District,Hai DC,Hai Mjini,Bomani,District Hospital,Operating,LGA Public,1/1/70,,,,,Box 27 Hai,,
3653,112880-0,HAI,-3.33224,37.15003,,Kilimanjaro Region,Hai District,Hai DC,Hai Mjini,Bomani,Optometry Clinic,Operating,For Profit Private,1/1/70,762045588,,,,307 Hai,mashoombe@yahoo.com,
3657,112882-6,HAI VISION CENTRE -,-3.33772,37.14617,,Kilimanjaro Region,Hai District,Hai DC,Hai Mjini,Bomani,Optometry Clinic,Operating,For Profit Private,1/1/70,0713/0782281581,,,,3010 Moshi,,
3859,101415-8,HURUMA COGI,-3.3312,37.14866,,Kilimanjaro Region,Hai District,Hai DC,Hai Mjini,Bomani,Dispensary,Operating,Faith Based Organization (FBO) Private,,,,,,,,
4864,101777-1,IMACULATE,-3.33749,37.13165,,Kilimanjaro Region,Hai District,Hai DC,Hai Mjini,Gezaulole,Dispensary,Operating,Faith Based Organization (FBO) Private,,,,,,,,
4352,112955-0,KALALI,-3.21852,37.21935,,Kilimanjaro Region,Hai District,Hai DC,Machame Kaskazini,,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,1/1/70,,,,,,,
5043,102507-1,KAWAYA,-3.46035,37.2209,,Kilimanjaro Region,Hai District,Hai DC,Masama Rundugai,Kawaya,Dispensary,Operating,LGA Public,,,,,,,,
5176,102557-6,KIA,-3.421484,37.06664,,Kilimanjaro Region,Hai District,Hai DC,KIA,Mtakuja,Dispensary,Operating,LGA Public,,,,,,Box 27 Hai,,
5180,102558-4,KIA RC,-3.38625,37.0629,,Kilimanjaro Region,Hai District,Hai DC,KIA,Kia,Dispensary,Operating,Faith Based Organization (FBO) Private,,,,,,,,
5646,102775-4,KIKAVU CHINI,-3.452881,37.283935,,Kilimanjaro Region,Hai District,Hai DC,Machame Weruweru,Kikavu chini,Dispensary,Operating,LGA Public,,,,,,Box 27 Hai,,
5650,111582-3,KIKAVU RC,-3.43208,37.29227,,Kilimanjaro Region,Hai District,Hai DC,Machame Weruweru,Kikavu chini,Dispensary,Operating,Faith Based Organization (FBO) Private,9/9/16,,,,,Box 3041 Moshi-Kilimanjaro,,
7272,103086-5,KISERENI,-3.2261,37.23585,Ndeekyo,Kilimanjaro Region,Hai District,Hai DC,Machame Mashariki,Nkuu sinde,Dispensary,Operating,Faith Based Organization (FBO) Private,,,,,,,,
7403,103110-3,KISIKI,-3.22556,37.22091,,Kilimanjaro Region,Hai District,Hai DC,Machame Kaskazini,Wari,Health Center,Operating,LGA Public,,,,,,,,
8771,103388-5,KWARE,-3.27853,37.149161,,Kilimanjaro Region,Hai District,Hai DC,Masama Kusini,Kware,Dispensary,Operating,LGA Public,,,,,,Box 27 Hai,,
8786,103390-1,KWASADALA COGI,-3.30763,37.19967,,Kilimanjaro Region,Hai District,Hai DC,Masama Kusini,Kwasadala,Dispensary,Operating,Faith Based Organization (FBO) Private,,,,,,,,
8804,103394-3,KWATITO,-3.419408,37.299402,Kwatito,Kilimanjaro Region,Hai District,Hai DC,Machame Kusini,Kwatito,Dispensary,Operating,LGA Public,1/10/20,,,,,Box 27 Hai,,
8987,103429-7,KYEERI,-3.193897,37.207119,,Kilimanjaro Region,Hai District,Hai DC,Machame Magharibi,Kyeeri,Dispensary,Operating,LGA Public,,,,,,,,
9148,103457-8,LAMBO,-3.2827,37.2244,,Kilimanjaro Region,Hai District,Hai DC,Machame Kaskazini,Nshara,Dispensary,Operating,LGA Public,,,,,,Box 27 Hai,,
9257,103474-3,LEMIRA,-3.23515,37.16619,,Kilimanjaro Region,Hai District,Hai DC,Masama Kati,Lemira kati,Dispensary,Operating,Faith Based Organization (FBO) Private,,,,,,,,
5885,103582-3,LONGOI,-3.406821,37.253627,,Kilimanjaro Region,Hai District,Hai DC,Machame Weruweru,Ngosero,Dispensary,Operating,LGA Public,,,,,,,,
5918,103587-2,LOSAA,-3.205767,37.154144,,Kilimanjaro Region,Hai District,Hai DC,Masama Magharibi,Losaa,Dispensary,Operating,LGA Public,,,,,,,,
6413,103684-7,LUKANI,-3.190494,37.149465,,Kilimanjaro Region,Hai District,Hai DC,Masama Magharibi,Lukani,Dispensary,Operating,LGA Public,,,,,,,,
3246,113632-4,FM HEALTH CARE,-3.367348,36.725878,,Arusha Region,Arusha District,Arusha CC,Kimandolu,Kityangari,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
3247,110721-8,FMM,-3.362834,36.7009,FMM,Arusha Region,Arusha District,Arusha CC,Sekei,Sanawari,Specialised Clinic,Operating,For Profit Private Dr. Clement Makule,1/4/18,769880088,,,,P.O.Box 1001 Arusha,cmakule@yahoo.com,
3261,113550-8,FORWARD MODERN,-3.39125,36.673492,,Arusha Region,Arusha District,Arusha CC,Sokon I,Madukani,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
3389,113625-8,GEMSA,-3.375081,36.699683,GEMSA,Arusha Region,Arusha District,Arusha CC,Themi,Corridor,Specialised Clinic,Operating,For Profit Private DR. MELKIZEDEK STEPHEN KIMARO,10/10/16,789003652,,,,P.O.BOX 10712,gemsaclinic@gmail.com,
18062,121317-2,GLITZ,,,GLITZ,Arusha Region,Arusha District,Arusha CC,Sekei,Naura,Basic Dental Clinic,Operating,Investor(For Foreigners) Private GLITZ ADVANCE DENTAL CLINIC LTD,3/9/20,685757359,,,,P.O Box 3110 Arusha,info.glitzdental@gmail.com,
3462,112006-2,GLOBAL,-3.3684,36.682188,,Arusha Region,Arusha District,Arusha CC,Levolosi,Majengo,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
3463,101224-4,GLORIA,-3.361671,36.697168,Gloria,Arusha Region,Arusha District,Arusha CC,Sekei,Sanawari,Dispensary,Operating,Faith Based Organization (FBO) Private,6/11/17,754691609,,,,P.O.Box 2199,kilasarafrank1999@yahoo.com,
3607,113628-2,HEALTH4ALL,-3.373656,36.699567,HEALTH4ALL,Arusha Region,Arusha District,Arusha CC,Themi,Corridor,Specialised Clinic,Operating,For Profit Private DR ZOHEIR HUSSEIN DOSSAJI,1/4/18,255744626742,,,,P. O. BOX 345 ARUSHA,health4allclinics@gmail.com,www.health4allclinics.co.tz/
3673,110723-4,HIGHWAY,-3.372904,36.685279,Highway,Arusha Region,Arusha District,Arusha CC,Levolosi,Majengo,Dispensary,Operating,Faith Based Organization (FBO) Private Love of Calvary church,6/8/12,,,,,,,
3674,111957-7,HIGHWAY HEALTH,-3.394521,36.665181,,Arusha Region,Arusha District,Arusha CC,Sombetini,Osunyai,Level IA2 (Dispensary Laboratory),Operating,For Profit Private,,,,,,,,
3723,101379-6,HOLY FAMILY,-3.41223,36.70756,,Arusha Region,Arusha District,Arusha CC,Engutoto,Block C 1,PolyClinic,Operating,For Profit Private Dr. Nasenan Mollel,9/6/19,713823074,,,,P.O.Box 1539 Arusha,holyfamilydisp@gmail.com,
3756,111782-9,HOPE,-3.424183,36.658004,Hope,Arusha Region,Arusha District,Arusha CC,Terrat,Murieti,Dispensary,Operating,For Profit Private Michael Jigabha Wanjara,6/2/17,,,,,P.O.BOX 474,,
463,120365-2,HOSPITALI YA JIJI,,,City Hospital,Arusha Region,Arusha District,Arusha CC,Engutoto,Block D,District Hospital,Operating,LGA Public Arusha CC,,,,,,P.O Box 3013,cmoh@arushacc.go.go.tz,
461,120283-7,ITHNA ASHERI CHARITABLE,,,ITHNA ASHERI,Arusha Region,Arusha District,Arusha CC,Levolosi,Levolos,PolyClinic,Operating,Faith Based Organization (FBO) Private KHOJA SHIA ITHNAASHERI JAMAT,3/15/21,#ERROR!,,,,P.O.BOX 7176,accounts2@ksijhealthcare.or.tz,
5408,101462-0,ITHNAASHERI CHARITABLE,-3.37424,36.68132,ICD,Arusha Region,Arusha District,Arusha CC,Levolosi,Majengo,Dispensary,Operating,Faith Based Organization (FBO) Private,1/1/70,254477/2502320,,02-03-0600,,P.O.Box 7176 Arusha,,
4005,111491-7,JMS HUMAN HEALTH,-3.365352,36.689535,JMS DISP,Arusha Region,Arusha District,Arusha CC,Kaloleni,Kaloleni Magharibi,Dispensary,Operating,Faith Based Organization (FBO) Private THE LOVE OF CALVARY CHURCH,1/4/18,754473090,,,,P.O BOX 2828,jmsdispensarynlab@gmail.com,
4012,111844-7,JOBI,-3.375044,36.676086,Jobi,Arusha Region,Arusha District,Arusha CC,Ngarenaro,NHC,Dispensary,Operating,For Profit Private DR. JOSEPH MARDAI,6/14/93,754290437,,,,P.O.Box 1723 Arusha,,
4426,102258-1,KALOLENI,-3.369322,36.688577,KALOLENI HC,Arusha Region,Arusha District,Arusha CC,Kaloleni,Kaloleni Mashariki,Health Center,Operating,LGA Public,1/7/61,73297936,,02-03-0104,,3013,,
4448,102269-8,KAM MED,-3.378285,36.696048,,Arusha Region,Arusha District,Arusha CC,Themi,Old Police line,Health Center,Operating,For Profit Private,5/6/12,,,02-03-0102,,P.O.Box 6043 Arusha,Kammedhealthcentre@gmail.com,
4533,111489-1,KANAAN LAND,-3.405768,36.644791,KANAAN DISP.,Arusha Region,Arusha District,Arusha CC,Kimandolu,Kityangari,Dispensary,Operating,For Profit Private DR WILLIAM MANASE MAKANGE,11/3/16,255765121316,,,,P.O.Box 569,,
2835,111998-1,KIAZE,-3.362795,36.672612,,Arusha Region,Arusha District,Arusha CC,Elerai,Sakina,Level IA2 (Dispensary Laboratory),Operating,Private ROSE,11/1/16,255 769 953 566,,,,P.O.BOX 16690,rosebogohe@yahoo.com,
5571,102755-6,KIJENGE RC,-3.3816,36.70815,Kijenge RC Dispensary,Arusha Region,Arusha District,Arusha CC,Oloirien,Roman Catholic,Dispensary,Operating,Faith Based Organization (FBO) Private,7/9/97,,,,,P.O.Box 3071 Arusha,,
6218,111784-5,KIMAHAMA,-3.367506,36.68474,,Arusha Region,Arusha District,Arusha CC,Levolosi,Levolos,Eye Clinic,Operating,For Profit Private,,,,,,,,
